X,Voice,Number,Subject,Reflexive,TempLoc,Aspect,SpatAdv,Epoch,RelClause,Aux
225,Active,Sg,Subj,Nonreflexive,FALSE,Pf,SpatAdv,late,NoRelCl,Aux
226,Active,Sg,Subj,Nonreflexive,FALSE,Impf,NoSpatAdv,late,RelCl,Aux
227,Active,Sg,Subj,Nonreflexive,FALSE,Impf,SpatAdv,late,NoRelCl,Aux
228,Active,Sg,NoSubj,Nonreflexive,FALSE,Pf,NoSpatAdv,late,NoRelCl,Aux
229,Active,Sg,Subj,Nonreflexive,FALSE,Pf,NoSpatAdv,late,NoRelCl,Aux
230,Active,Sg,Subj,Nonreflexive,FALSE,Pf,NoSpatAdv,late,NoRelCl,Aux
231,Active,Sg,Subj,Nonreflexive,FALSE,Pf,NoSpatAdv,late,NoRelCl,Aux
232,Active,Sg,Subj,Reflexive,FALSE,Impf,NoSpatAdv,late,NoRelCl,NoAux
233,Passive,Sg,NoSubj,Nonreflexive,TRUE,Pf,SpatAdv,late,NoRelCl,NoAux
234,Passive,Sg,Subj,Nonreflexive,FALSE,Pf,NoSpatAdv,late,NoRelCl,NoAux
235,Active,Sg,NoSubj,Nonreflexive,TRUE,Impf,NoSpatAdv,late,NoRelCl,Aux
236,Active,Pl,Subj,Nonreflexive,FALSE,Impf,NoSpatAdv,late,RelCl,NoAux
237,Active,Pl,Subj,Nonreflexive,TRUE,Impf,NoSpatAdv,late,RelCl,Aux
238,Active,Pl,NoSubj,Nonreflexive,FALSE,Impf,SpatAdv,late,NoRelCl,NoAux
239,Active,Pl,NoSubj,Nonreflexive,FALSE,Impf,NoSpatAdv,late,NoRelCl,NoAux
240,Active,Sg,NoSubj,Reflexive,TRUE,Pf,NoSpatAdv,late,NoRelCl,Aux
241,Passive,Sg,NoSubj,Nonreflexive,TRUE,Pf,SpatAdv,late,NoRelCl,NoAux
242,Active,Sg,NoSubj,Nonreflexive,TRUE,Pf,NoSpatAdv,late,NoRelCl,NoAux
243,Active,Sg,NoSubj,Nonreflexive,TRUE,Pf,NoSpatAdv,late,NoRelCl,NoAux
244,Active,Sg,NoSubj,Nonreflexive,FALSE,Impf,NoSpatAdv,late,NoRelCl,NoAux
245,Active,Sg,NoSubj,Nonreflexive,TRUE,Pf,NoSpatAdv,late,NoRelCl,NoAux
